序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,省级,2020/2/9,2020/2/10,中国,北京市,北京,,11,0,7,0,337,207,44,2,0,,北京市卫健委,2020年02月10日 12:00,"本市新增11例新冠肺炎确诊病例

发布日期：2020-02-10?来源：北京市卫生健康委???

　　2月9日0时至24时，本市新增11例新冠肺炎确诊病例。2例有湖北及其他省份接触史；7例为确诊病例的密切接触者；1例无湖北接触史；1例否认湖北接触史，正在进一步核实。均已送至定点医疗机构进行救治。现有疑似病例207例，新增密切接触者46例，累计确定密切接触者1465例，其中632例已解除医学观察。出院7例。

　　截至2月9日24时,本市累计确诊病例337例。其中出院44例，死亡2例，291例在定点医院进行隔离治疗。东城区9例、西城区39例、朝阳区56例、海淀区54例、丰台区30例、石景山区13例、门头沟区3例、房山区14例、通州区16例、顺义区10例、昌平区18例、大兴区36例、怀柔区7例、密云区6例、延庆区1例，外地来京人员25例。平谷区尚未有病例。",http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200210_1627206.html,,,,2020/2/9 12:50,手动,谭绍聪,已核查,2020/2/10 12:50,手动,叶楚玥,核查通过,,,,,,,
2,城市级,2020/2/9,2020/2/10,中国,北京市,北京,朝阳区,1,0,0,0,56,,0,0,,,北京市卫健委,2020年02月10日 12:00,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200210_1627206.html,,,,2020/2/9 12:50,手动,谭绍聪,已核查,2020/2/10 12:50,手动,叶楚玥,核查通过,,,,,,,
3,城市级,2020/2/9,2020/2/10,中国,北京市,北京,海淀区,2,0,0,0,54,,0,0,,,北京市卫健委,2020年02月10日 12:00,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200210_1627206.html,,,,2020/2/9 12:50,手动,谭绍聪,已核查,2020/2/10 12:50,手动,叶楚玥,核查通过,,,,,,,
4,城市级,2020/2/9,2020/2/10,中国,北京市,北京,西城区,1,0,0,0,39,,0,0,,,北京市卫健委,2020年02月10日 12:00,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200210_1627206.html,,,,2020/2/9 12:50,手动,谭绍聪,已核查,2020/2/10 12:50,手动,叶楚玥,核查通过,,,,,,,
5,城市级,2020/2/9,2020/2/10,中国,北京市,北京,大兴区,1,0,0,0,36,,0,0,,,北京市卫健委,2020年02月10日 12:00,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200210_1627206.html,,,,2020/2/9 12:50,手动,谭绍聪,已核查,2020/2/10 12:50,手动,叶楚玥,核查通过,,,,,,,
6,城市级,2020/2/9,2020/2/10,中国,北京市,北京,丰台区,3,0,0,0,30,,0,0,,,北京市卫健委,2020年02月10日 12:00,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200210_1627206.html,,,,2020/2/9 12:50,手动,谭绍聪,已核查,2020/2/10 12:50,手动,叶楚玥,核查通过,,,,,,,
7,城市级,2020/2/9,2020/2/10,中国,北京市,北京,外地来京,1,0,0,0,25,,0,0,0,,北京市卫健委,2020年02月10日 12:00,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200210_1627206.html,,,,2020/2/9 12:50,手动,谭绍聪,已核查,2020/2/10 12:50,手动,叶楚玥,核查通过,,,,,,,
8,城市级,2020/2/9,2020/2/10,中国,北京市,北京,昌平区,1,0,0,0,18,,0,0,,,北京市卫健委,2020年02月10日 12:00,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200210_1627206.html,,,,2020/2/9 12:50,手动,谭绍聪,已核查,2020/2/10 12:50,手动,叶楚玥,核查通过,,,,,,,
9,城市级,2020/2/9,2020/2/10,中国,北京市,北京,通州区,0,0,0,0,16,,0,0,,,北京市卫健委,2020年02月10日 12:00,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200210_1627206.html,,,,2020/2/9 12:50,手动,谭绍聪,已核查,2020/2/10 12:50,手动,叶楚玥,核查通过,,,,,,,
10,城市级,2020/2/9,2020/2/10,中国,北京市,北京,房山区,0,0,0,0,14,,0,0,,,北京市卫健委,2020年02月10日 12:00,,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200210_1627206.html,,,,2020/2/9 12:50,手动,谭绍聪,已核查,2020/2/10 12:50,手动,叶楚玥,核查通过,,,,,,,
