序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,城市级,2020/2/8 00:00,2020/2/9 00:00,中国,重庆,重庆,万州区,13,,3,,97,,8,1,,,重庆市卫健委,2020/2/10 00:00,2020年2月9日0—12时，重庆市报告新冠肺炎新增确诊病例4例，新增出院病例2例；2020年2月9日12—24时，重庆市报告新冠肺炎新增确诊病例18例，新增重型病例6例，重型病例转危重型病例1例，新增危重型病例1例，新增出院病例10例,http://wsjkw.cq.gov.cn/tzgg/20200210/253061.html;http://wsjkw.cq.gov.cn/tzgg/20200209/253029.html,,,,2020/2/10 10:50,手动,韦东升,未核查,,,,,,,,,,,
2,城市级,2020/2/8 00:00,2020/2/9 00:00,中国,重庆,重庆,黔江区,,,,,2,,,,,,重庆市卫健委,2020/2/10 00:00,2020年2月9日0—12时，重庆市报告新冠肺炎新增确诊病例4例，新增出院病例2例；2020年2月9日12—24时，重庆市报告新冠肺炎新增确诊病例18例，新增重型病例6例，重型病例转危重型病例1例，新增危重型病例1例，新增出院病例10例,http://wsjkw.cq.gov.cn/tzgg/20200210/253061.html;http://wsjkw.cq.gov.cn/tzgg/20200209/253029.html,,,,2020/2/10 10:50,手动,韦东升,未核查,,,,,,,,,,,
3,城市级,2020/2/8 00:00,2020/2/9 00:00,中国,重庆,重庆,涪陵区,,,,,3,,,,,,重庆市卫健委,2020/2/10 00:00,2020年2月9日0—12时，重庆市报告新冠肺炎新增确诊病例4例，新增出院病例2例；2020年2月9日12—24时，重庆市报告新冠肺炎新增确诊病例18例，新增重型病例6例，重型病例转危重型病例1例，新增危重型病例1例，新增出院病例10例,http://wsjkw.cq.gov.cn/tzgg/20200210/253061.html;http://wsjkw.cq.gov.cn/tzgg/20200209/253029.html,,,,2020/2/10 10:50,手动,韦东升,未核查,,,,,,,,,,,
4,城市级,2020/2/8 00:00,2020/2/9 00:00,中国,重庆,重庆,渝中区,,,,,20,,1,,,,重庆市卫健委,2020/2/10 00:00,2020年2月9日0—12时，重庆市报告新冠肺炎新增确诊病例4例，新增出院病例2例；2020年2月9日12—24时，重庆市报告新冠肺炎新增确诊病例18例，新增重型病例6例，重型病例转危重型病例1例，新增危重型病例1例，新增出院病例10例,http://wsjkw.cq.gov.cn/tzgg/20200210/253061.html;http://wsjkw.cq.gov.cn/tzgg/20200209/253029.html,,,,2020/2/10 10:50,手动,韦东升,未核查,,,,,,,,,,,
5,城市级,2020/2/8 00:00,2020/2/9 00:00,中国,重庆,重庆,大渡口区,,,,,7,,1,,,,重庆市卫健委,2020/2/10 00:00,2020年2月9日0—12时，重庆市报告新冠肺炎新增确诊病例4例，新增出院病例2例；2020年2月9日12—24时，重庆市报告新冠肺炎新增确诊病例18例，新增重型病例6例，重型病例转危重型病例1例，新增危重型病例1例，新增出院病例10例,http://wsjkw.cq.gov.cn/tzgg/20200210/253061.html;http://wsjkw.cq.gov.cn/tzgg/20200209/253029.html,,,,2020/2/10 10:50,手动,韦东升,未核查,,,,,,,,,,,
6,城市级,2020/2/8 00:00,2020/2/9 00:00,中国,重庆,重庆,江北区,1,,,,24,,1,,,,重庆市卫健委,2020/2/10 00:00,2020年2月9日0—12时，重庆市报告新冠肺炎新增确诊病例4例，新增出院病例2例；2020年2月9日12—24时，重庆市报告新冠肺炎新增确诊病例18例，新增重型病例6例，重型病例转危重型病例1例，新增危重型病例1例，新增出院病例10例,http://wsjkw.cq.gov.cn/tzgg/20200210/253061.html;http://wsjkw.cq.gov.cn/tzgg/20200209/253029.html,,,,2020/2/10 10:50,手动,韦东升,未核查,,,,,,,,,,,
7,城市级,2020/2/8 00:00,2020/2/9 00:00,中国,重庆,重庆,沙坪坝区,,,,,2,,,,,,重庆市卫健委,2020/2/10 00:00,2020年2月9日0—12时，重庆市报告新冠肺炎新增确诊病例4例，新增出院病例2例；2020年2月9日12—24时，重庆市报告新冠肺炎新增确诊病例18例，新增重型病例6例，重型病例转危重型病例1例，新增危重型病例1例，新增出院病例10例,http://wsjkw.cq.gov.cn/tzgg/20200210/253061.html;http://wsjkw.cq.gov.cn/tzgg/20200209/253029.html,,,,2020/2/10 10:50,手动,韦东升,未核查,,,,,,,,,,,
8,城市级,2020/2/8 00:00,2020/2/9 00:00,中国,重庆,重庆,九龙坡区,1,,,,20,,1,1,,,重庆市卫健委,2020/2/10 00:00,2020年2月9日0—12时，重庆市报告新冠肺炎新增确诊病例4例，新增出院病例2例；2020年2月9日12—24时，重庆市报告新冠肺炎新增确诊病例18例，新增重型病例6例，重型病例转危重型病例1例，新增危重型病例1例，新增出院病例10例,http://wsjkw.cq.gov.cn/tzgg/20200210/253061.html;http://wsjkw.cq.gov.cn/tzgg/20200209/253029.html,,,,2020/2/10 10:50,手动,韦东升,未核查,,,,,,,,,,,
9,城市级,2020/2/8 00:00,2020/2/9 00:00,中国,重庆,重庆,南岸区,,,,,8,,,,,,重庆市卫健委,2020/2/10 00:00,2020年2月9日0—12时，重庆市报告新冠肺炎新增确诊病例4例，新增出院病例2例；2020年2月9日12—24时，重庆市报告新冠肺炎新增确诊病例18例，新增重型病例6例，重型病例转危重型病例1例，新增危重型病例1例，新增出院病例10例,http://wsjkw.cq.gov.cn/tzgg/20200210/253061.html;http://wsjkw.cq.gov.cn/tzgg/20200209/253029.html,,,,2020/2/10 10:50,手动,韦东升,未核查,,,,,,,,,,,
10,城市级,2020/2/8 00:00,2020/2/9 00:00,中国,重庆,重庆,北碚区,,,,,,,,,,,重庆市卫健委,2020/2/10 00:00,2020年2月9日0—12时，重庆市报告新冠肺炎新增确诊病例4例，新增出院病例2例；2020年2月9日12—24时，重庆市报告新冠肺炎新增确诊病例18例，新增重型病例6例，重型病例转危重型病例1例，新增危重型病例1例，新增出院病例10例,http://wsjkw.cq.gov.cn/tzgg/20200210/253061.html;http://wsjkw.cq.gov.cn/tzgg/20200209/253029.html,,,,2020/2/10 10:50,手动,韦东升,未核查,,,,,,,,,,,
