序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,地区级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,兰州市,,,,,,21,,,,,,,2020/2/9 23:11,截至2月9日20时，甘肃新增4例新型冠状病毒肺炎确诊病例。新增确诊病例中，平凉市3例、庆阳市1例。新增治愈出院4例。新增死亡病例1例。甘肃累计报告新型冠状病毒肺炎确诊病例83例，累计治愈出院16例，累计死亡病例2例，65例在定点医院进行隔离治疗。兰州市21例、天水市11例、定西市7例、平凉市7例、甘南州6例、陇南市4例、白银市4例、庆阳市3例、张掖市1例、临夏州1例。现有重型病例6例，危重型病例1例。,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,王晨,,,,,,,,,,,,
2,地区级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,天水市,,,3,,,11,,,,,,,2020/2/9 23:11,新增疑似病例4例，兰州市3例、甘南州1例。现有疑似病例15例，兰州市9例、甘南州3例、天水市1例、平凉市1例、定西市1例。,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,,,,,,,,,,,,,
3,地区级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,定西市,,,,,,7,,,,,,,2020/2/9 23:11,目前，累计追踪到密切接触者3075人，已解除医学观察2147人，其余928人正在接受医学观察。,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,,,,,,,,,,,,,
4,地区级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,平凉市,,3,,,,7,,,,,,,2020/2/9 23:11,患者1，张某某，女性，55岁，平凉市华亭市人。为2月7日确诊病例柳某的密切接触者。2月4日在华亭市第一人民医院隔离观察，2月7日行胸部CT显示双肺外围斑片状磨玻璃样密度增高影，当日收住入院隔离治疗。2月9日确诊为新型冠状病毒肺炎。目前，在华亭市第一人民医院住院隔离治疗，病情平稳。,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,,,,,,,,,,,,,
5,地区级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,甘南州,,,1,,,6,,,,,,,2020/2/9 23:11,患者2，柳某，女性，33岁，重庆市沙坪坝区人，现居住平凉市华亭市。与外省确诊病例吴某（2月3日确诊）有密切接触史。1月29日出现咽部干涩症状，未就诊。2月4日在华亭市医学观察区集中隔离，2月7日核酸检测阳性后，在华亭市第一人民医院住院隔离，胸部CT显示双肺外围斑片状磨玻璃样密度增高影。2月9日确诊为新型冠状病毒肺炎。目前，在华亭市第一人民医院住院隔离治疗，病情平稳。,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,,,,,,,,,,,,,
6,地区级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,陇南市,,,,,,4,,,,,,,2020/2/9 23:11,患者3，王某某，男性，23岁，平凉市庄浪县人，长期在武汉市工作居住。1月20日乘高铁从武汉市途经天水市返回庄浪县。期间一直居家医学观察无外出，2月6日出现咳嗽、咳痰，到当地卫生院对症治疗后无明显好转，2月7日出现发热，2月8日在庄浪县人民医院就诊后住院隔离。2月9日确诊为新型冠状病毒肺炎。目前，在庄浪县人民医院住院隔离治疗，病情平稳。,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,,,,,,,,,,,,,
7,地区级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,白银市,,,,,,4,,,,,,,2020/2/9 23:11,患者4，张某某，女性，27岁，宁夏自治区银川市人，现居住庆阳市庆城县。1月23日前与银川确诊病例有密切接触史。1月23日乘私家车从银川市返回庆城县，2月3日出现发热症状，自行居家治疗，2月6日被确定为外省确诊患者的密切接触者后前往庆城县人民医院就诊后住院隔离。2月9日确诊为新型冠状病毒肺炎。目前，在庆城县人民医院住院隔离治疗，病情平稳。,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,,,,,,,,,,,,,
8,地区级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,庆阳市,,1,,,,3,,,,,,,2020/2/9 23:11,死亡1例，马某某，女性，73岁，兰州市西固区人。1月31日在西固区人民医院隔离治疗，2月2日确诊为新型冠状病毒肺炎病例。2月4日因病情持续加重转入兰州市肺科医院，经组织专家多次会诊治疗，因急性呼吸窘迫、感染性休克、多脏器功能衰竭、电解质代谢紊乱，经抢救无效，于2月9日2时10分死亡。该患者遗体已按照《新型冠状病毒感染的肺炎患者遗体处置工作指引（试行）》规范处置。该患者为兰州市家庭聚集性病例的确诊患者之一。,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,,,,,,,,,,,,,
9,地区级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,张掖市,,,,,,1,,,,,,,2020/2/9 23:11,,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,,,,,,,,,,,,,
10,地区级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,临夏州,,,,,,1,,,,,,,2020/2/9 23:11,,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,,,,,,,,,,,,,
12,省级,2020/2/8 20:00,2020/2/9 20:00,中国,甘肃省,,,4,4,4,1,65,15,16,2,,,,2020/2/9 23:11,,http://wsjk.gansu.gov.cn/single/10910/83900.html,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
