序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,城市级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,广西,南宁市,,2,,,,37,,,,,,广西省卫健委,2020/2/10,累计确诊病例中，南宁市35例、柳州市20例、桂林市29例、梧州市5例、北海市33例、防城港市16例、钦州市8例、贵港市7例、玉林市9例、百色市3例、贺州市4例、河池市19例、来宾市7例。, http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0209/68578.html, ,,,2020/02/10 12:10,手动,郭泽添,是,2020/02/09 20:00,手动,周文刚,,,,,,,,
2,城市级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,广西,柳州市,4,2,,,,22,,5,,,,广西省卫健委,2020/2/10,累计确诊病例中，南宁市35例、柳州市20例、桂林市29例、梧州市5例、北海市33例、防城港市16例、钦州市8例、贵港市7例、玉林市9例、百色市3例、贺州市4例、河池市19例、来宾市8例。, http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0209/68578.html, ,,,2020/02/10 12:10,手动,郭泽添,,,,,,,,,,,,
3,城市级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,广西,桂林市,2,1,,,,30,,7,,,,广西省卫健委,2020/2/10,累计确诊病例中，南宁市35例、柳州市20例、桂林市29例、梧州市5例、北海市33例、防城港市16例、钦州市8例、贵港市7例、玉林市9例、百色市3例、贺州市4例、河池市19例、来宾市9例。, http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0209/68578.html, ,,,2020/02/10 12:10,手动,郭泽添,,,,,,,,,,,,
4,城市级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,广西,梧州市,1,,,,,5,,1,,,,广西省卫健委,2020/2/10,累计确诊病例中，南宁市35例、柳州市20例、桂林市29例、梧州市5例、北海市33例、防城港市16例、钦州市8例、贵港市7例、玉林市9例、百色市3例、贺州市4例、河池市19例、来宾市10例。, http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0209/68578.html, ,,,2020/02/10 12:10,手动,郭泽添,,,,,,,,,,,,
5,城市级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,广西,北海市,,2,,,,35,,2,,,,广西省卫健委,2020/2/10,累计确诊病例中，南宁市35例、柳州市20例、桂林市29例、梧州市5例、北海市33例、防城港市16例、钦州市8例、贵港市7例、玉林市9例、百色市3例、贺州市4例、河池市19例、来宾市11例。, http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0209/68578.html, ,,,2020/02/10 12:10,手动,郭泽添,,,,,,,,,,,,
6,城市级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,广西,防城港市,,1,,,,17,,1,,,,广西省卫健委,2020/2/10,累计确诊病例中，南宁市35例、柳州市20例、桂林市29例、梧州市5例、北海市33例、防城港市16例、钦州市8例、贵港市7例、玉林市9例、百色市3例、贺州市4例、河池市19例、来宾市12例。, http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0209/68578.html, ,,,2020/02/10 12:10,手动,郭泽添,,,,,,,,,,,,
7,城市级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,广西,钦州市,,,,,,8,,,,,,广西省卫健委,2020/2/10,累计确诊病例中，南宁市35例、柳州市20例、桂林市29例、梧州市5例、北海市33例、防城港市16例、钦州市8例、贵港市7例、玉林市9例、百色市3例、贺州市4例、河池市19例、来宾市13例。, http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0209/68578.html, ,,,2020/02/10 12:10,手动,郭泽添,,,,,,,,,,,,
8,城市级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,广西,贵港市,,1,,,,8,,,,,,广西省卫健委,2020/2/10,累计确诊病例中，南宁市35例、柳州市20例、桂林市29例、梧州市5例、北海市33例、防城港市16例、钦州市8例、贵港市7例、玉林市9例、百色市3例、贺州市4例、河池市19例、来宾市14例。, http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0209/68578.html, ,,,2020/02/10 12:10,手动,郭泽添,,,,,,,,,,,,
9,城市级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,广西,玉林市,1,,,,,9,,2,,,,广西省卫健委,2020/2/10,累计确诊病例中，南宁市35例、柳州市20例、桂林市29例、梧州市5例、北海市33例、防城港市16例、钦州市8例、贵港市7例、玉林市9例、百色市3例、贺州市4例、河池市19例、来宾市15例。, http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0209/68578.html, ,,,2020/02/10 12:10,手动,郭泽添,,,,,,,,,,,,
10,城市级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,广西,百色市,,,,,,3,,,,,,广西省卫健委,2020/2/10,累计确诊病例中，南宁市35例、柳州市20例、桂林市29例、梧州市5例、北海市33例、防城港市16例、钦州市8例、贵港市7例、玉林市9例、百色市3例、贺州市4例、河池市19例、来宾市16例。, http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0209/68578.html, ,,,2020/02/10 12:10,手动,郭泽添,,,,,,,,,,,,
