序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,城市级,2020/2/9,2020/2/10,中国,贵州,贵阳市,,5,,,,27,,1,,,,贵州省卫健委,2020/2/10/08:46:34,截至2月9日24时，全省累计报告新型冠状病毒肺炎病例109例。其中，45例有武汉旅居史，7例有武汉外湖北其他地区旅居史，9例有湖北以外地区旅居史；治愈出院7例，病情平稳80例，重症14例，危重症7例，死亡1例；男性57例，女性52例；年龄最大87岁，最小1个月（确诊时间）；贵阳市27例（1例已治愈），遵义市19例（1例已治愈），六盘水市10例，安顺市4例，毕节市21例，铜仁市8例（2例已治愈），黔东南州8例，黔南州8例（3例已治愈），黔西南州4例。现有疑似病例75例。,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200209_47967133.html, ,,,2020/02/10/12:50,手动,郭泽添,是,2020/02/10/13:32,手动,丁超,核查通过,,,,,,,
2,城市级,2020/2/9,2020/2/10,中国,贵州,六盘水市,,,,,,10,,,1,,,贵州省卫健委,2020/2/10/08:46:34,截至2月9日24时，全省累计报告新型冠状病毒肺炎病例109例。其中，45例有武汉旅居史，7例有武汉外湖北其他地区旅居史，9例有湖北以外地区旅居史；治愈出院7例，病情平稳80例，重症14例，危重症7例，死亡1例；男性57例，女性52例；年龄最大87岁，最小1个月（确诊时间）；贵阳市27例（1例已治愈），遵义市19例（1例已治愈），六盘水市10例，安顺市4例，毕节市21例，铜仁市8例（2例已治愈），黔东南州8例，黔南州8例（3例已治愈），黔西南州4例。现有疑似病例75例。,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200209_47967133.html, ,,,2020/02/10/12:50,手动,郭泽添,是,2020/02/10/13:32,手动,丁超,核查通过,,,,,,,
3,城市级,2020/2/9,2020/2/10,中国,贵州,铜仁市,,1,,,,8,,2,,,,贵州省卫健委,2020/2/10/08:46:34,截至2月9日24时，全省累计报告新型冠状病毒肺炎病例109例。其中，45例有武汉旅居史，7例有武汉外湖北其他地区旅居史，9例有湖北以外地区旅居史；治愈出院7例，病情平稳80例，重症14例，危重症7例，死亡1例；男性57例，女性52例；年龄最大87岁，最小1个月（确诊时间）；贵阳市27例（1例已治愈），遵义市19例（1例已治愈），六盘水市10例，安顺市4例，毕节市21例，铜仁市8例（2例已治愈），黔东南州8例，黔南州8例（3例已治愈），黔西南州4例。现有疑似病例75例。,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200209_47967133.html, ,,,2020/02/10/12:50,手动,郭泽添,是,2020/02/10/13:32,手动,丁超,核查通过,,,,,,,
4,城市级,2020/2/9,2020/2/10,中国,贵州,黔东南州,,2,,,,8,,,,,,贵州省卫健委,2020/2/10/08:46:34,截至2月9日24时，全省累计报告新型冠状病毒肺炎病例109例。其中，45例有武汉旅居史，7例有武汉外湖北其他地区旅居史，9例有湖北以外地区旅居史；治愈出院7例，病情平稳80例，重症14例，危重症7例，死亡1例；男性57例，女性52例；年龄最大87岁，最小1个月（确诊时间）；贵阳市27例（1例已治愈），遵义市19例（1例已治愈），六盘水市10例，安顺市4例，毕节市21例，铜仁市8例（2例已治愈），黔东南州8例，黔南州8例（3例已治愈），黔西南州4例。现有疑似病例75例。,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200209_47967133.html, ,,,2020/02/10/12:50,手动,郭泽添,是,2020/02/10/13:32,手动,丁超,核查通过,,,,,,,
5,城市级,2020/2/9,2020/2/10,中国,贵州,遵义市,,4,,,,19,,1,,,,贵州省卫健委,2020/2/10/08:46:34,截至2月9日24时，全省累计报告新型冠状病毒肺炎病例109例。其中，45例有武汉旅居史，7例有武汉外湖北其他地区旅居史，9例有湖北以外地区旅居史；治愈出院7例，病情平稳80例，重症14例，危重症7例，死亡1例；男性57例，女性52例；年龄最大87岁，最小1个月（确诊时间）；贵阳市27例（1例已治愈），遵义市19例（1例已治愈），六盘水市10例，安顺市4例，毕节市21例，铜仁市8例（2例已治愈），黔东南州8例，黔南州8例（3例已治愈），黔西南州4例。现有疑似病例75例。,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200209_47967133.html, ,,,2020/02/10/12:50,手动,郭泽添,是,2020/02/10/13:32,手动,丁超,核查通过,,,,,,,
6,城市级,2020/2/9,2020/2/10,中国,贵州,安顺市,,,,,,4,,,,,,贵州省卫健委,2020/2/10/08:46:34,截至2月9日24时，全省累计报告新型冠状病毒肺炎病例109例。其中，45例有武汉旅居史，7例有武汉外湖北其他地区旅居史，9例有湖北以外地区旅居史；治愈出院7例，病情平稳80例，重症14例，危重症7例，死亡1例；男性57例，女性52例；年龄最大87岁，最小1个月（确诊时间）；贵阳市27例（1例已治愈），遵义市19例（1例已治愈），六盘水市10例，安顺市4例，毕节市21例，铜仁市8例（2例已治愈），黔东南州8例，黔南州8例（3例已治愈），黔西南州4例。现有疑似病例75例。,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200209_47967134.html, ,,,2020/02/10/12:50,手动,郭泽添,是,2020/02/10/13:32,手动,丁超,核查通过,,,,,,,
7,城市级,2020/2/9,2020/2/10,中国,贵州,黔南州,,1,,,,8,,3,,,,贵州省卫健委,2020/2/10/08:46:34,截至2月9日24时，全省累计报告新型冠状病毒肺炎病例109例。其中，45例有武汉旅居史，7例有武汉外湖北其他地区旅居史，9例有湖北以外地区旅居史；治愈出院7例，病情平稳80例，重症14例，危重症7例，死亡1例；男性57例，女性52例；年龄最大87岁，最小1个月（确诊时间）；贵阳市27例（1例已治愈），遵义市19例（1例已治愈），六盘水市10例，安顺市4例，毕节市21例，铜仁市8例（2例已治愈），黔东南州8例，黔南州8例（3例已治愈），黔西南州4例。现有疑似病例75例。,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200209_47967135.html, ,,,2020/02/10/12:50,手动,郭泽添,是,2020/02/10/13:32,手动,丁超,核查通过,,,,,,,
8,城市级,2020/2/9,2020/2/10,中国,贵州,毕节市,,,,,,21,,,,,,贵州省卫健委,2020/2/10/08:46:34,截至2月9日24时，全省累计报告新型冠状病毒肺炎病例109例。其中，45例有武汉旅居史，7例有武汉外湖北其他地区旅居史，9例有湖北以外地区旅居史；治愈出院7例，病情平稳80例，重症14例，危重症7例，死亡1例；男性57例，女性52例；年龄最大87岁，最小1个月（确诊时间）；贵阳市27例（1例已治愈），遵义市19例（1例已治愈），六盘水市10例，安顺市4例，毕节市21例，铜仁市8例（2例已治愈），黔东南州8例，黔南州8例（3例已治愈），黔西南州4例。现有疑似病例75例。,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200209_47967136.html, ,,,2020/02/10/12:50,手动,郭泽添,是,2020/02/10/13:32,手动,丁超,核查通过,,,,,,,
9,城市级,2020/2/9,2020/2/10,中国,贵州,黔西南州,,,,,,4,,,,,,贵州省卫健委,2020/2/10/08:46:34,截至2月9日24时，全省累计报告新型冠状病毒肺炎病例109例。其中，45例有武汉旅居史，7例有武汉外湖北其他地区旅居史，9例有湖北以外地区旅居史；治愈出院7例，病情平稳80例，重症14例，危重症7例，死亡1例；男性57例，女性52例；年龄最大87岁，最小1个月（确诊时间）；贵阳市27例（1例已治愈），遵义市19例（1例已治愈），六盘水市10例，安顺市4例，毕节市21例，铜仁市8例（2例已治愈），黔东南州8例，黔南州8例（3例已治愈），黔西南州4例。现有疑似病例75例。,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200209_47967137.html, ,,,2020/02/10/12:50,手动,郭泽添,是,2020/02/10/13:32,手动,丁超,核查通过,,,,,,,
10,省级,2020/2/9,2020/2/10,中国,贵州,,,13,,,,109,,7,1,,,贵州省卫健委,2020/2/10/08:46:34,截至2月9日24时，全省累计报告新型冠状病毒肺炎病例109例。其中，45例有武汉旅居史，7例有武汉外湖北其他地区旅居史，9例有湖北以外地区旅居史；治愈出院7例，病情平稳80例，重症14例，危重症7例，死亡1例；男性57例，女性52例；年龄最大87岁，最小1个月（确诊时间）；贵阳市27例（1例已治愈），遵义市19例（1例已治愈），六盘水市10例，安顺市4例，毕节市21例，铜仁市8例（2例已治愈），黔东南州8例，黔南州8例（3例已治愈），黔西南州4例。现有疑似病例75例。,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200209_47967138.html, ,,,2020/02/10/12:50,手动,郭泽添,是,2020/02/10/13:32,手动,丁超,核查通过,,,,,,,
