序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,运城市,,,,,,18,,4,,,,山西省卫计委,2020-02-10 02:44:19?,2020年2月9日0时至24时，山西省报告新增新型冠状病毒肺炎确诊病例4例。其中：太原市2例（迎泽区2例）、朔州市1例（朔城区1例）、忻州市1例（五台县1例）。新增疑似病例18例，现有疑似病例63例。,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,王晨,,,,,,,,,,,,
2,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,运城市,新绛县,,,,,,,,,,,山西省卫计委,2020-02-10 02:44:19?,截至2月9日24时，山西省11个市累计报告新型冠状病毒肺炎确诊病例119例。其中：晋中市32例（平遥县32例），运城市18例（新绛县5例、盐湖区3例、平陆县3例、河津市2例、芮城县1例、万荣县1例、夏县1例、绛县1例、稷山县1例），太原市17例（万柏林区6例、迎泽区6例、杏花岭区3例、小店区1例、清徐县1例），大同市11例（平城区9例、云冈区2例），晋城市8例（城区3例、沁水县2例、阳城县1例、陵川县1例、泽州县1例），长治市7例（潞州区6例、长子县1例），忻州市7例（五台县6例、忻府区1例），朔州市7例（应县3例、朔城区3例、怀仁市1例），吕梁市6例（孝义市3例、离石区2例、文水县1例），阳泉市4例（城区2例、盂县2例），临汾市2例（乡宁县1例、吉县1例）。,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
3,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,运城市,盐湖区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,新增治愈出院4例（太原市2例、晋中市2例），累计治愈出院25例（晋中市8例、运城市4例、大同市3例、吕梁市3例、太原市3例、晋城市2例、朔州市1例、临汾市1例）。现有在院隔离治疗94例，其中重症10例，危重症5例。,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
4,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,运城市,平陆县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,5名危重症病例（晋城市2例、太原市1例、运城市1例、朔州市1例），10名重症病例（太原市3例、晋中市2例、长治市2例、阳泉市1例、忻州市1例、大同市1例）均已集中在太原市第四人民医院（省级定点医院）隔离治疗。经省级专家和医护团队精心监护救治，目前病情平稳。其余79名普通病例正在市级定点医院隔离治疗，目前病情平稳，部分病例病情好转。,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
5,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,运城市,河津市,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,目前累计追踪到密切接触者3269人，当日解除医学观察183人，共有1077人正在接受医学观察。,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
6,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,运城市,芮城县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
7,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,运城市,万荣县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
8,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,运城市,夏县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
9,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,运城市,绛县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
10,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,运城市,稷山县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
11,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,晋中市,,,,2,,32,,8,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
12,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,晋中市,平遥县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
13,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,太原市,,2,,2,,17,,3,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
14,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,太原市,万柏林区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
15,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,太原市,迎泽区,2,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
16,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,太原市,杏花岭区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
17,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,太原市,小店区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
18,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,太原市,清徐县,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
19,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,大同市,,,,,,11,,3,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
20,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,山西省,大同市,平城区,,,,,3,,,,,,山西省卫计委,2020-02-10 02:44:19?,,http://wjw.shanxi.gov.cn/wjywl02/24790.hrh,,,,2020/2/10 10:17,,,,,,,,,,,,,,
