序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,昆明市,,1,,,42,,6,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
2,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,西双版纳州,,,,,15,,2,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
3,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,玉溪市,,,,,14,,1,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
4,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,昭通市,,,,,12,,1,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
5,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,曲靖市,,,,,11,,2,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
6,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,大理州,,,,,11,,2,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
7,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,保山市,,,,,9,,,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
8,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,丽江市,,,,,7,,1,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
9,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,红河州,,,,,5,,2,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
10,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,德宏州,,,,,5,,,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
11,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,楚雄州,,,,,4,,,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
12,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,普洱市,,,,,4,,1,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
13,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,文山州,,,,,1,,,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
14,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,临沧市,,,,,1,,,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
15,省级,2020/2/9 0:00,2020/2/10 0:00,中国,云南省,,,1,,,141,,18,,,,,云南省卫计委,2020/2/10 0:00,2月9日0时至12时，云南省报告新型冠状病毒肺炎新增病例1例；2月9日12时至24时，云南省报告新型冠状病毒肺炎新增病例为零,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158123176127641423;http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158129128784094710,,,,2020/2/10 11:27,手动,韦东升,未核查,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
